username,email,firstName,lastName,locale,type,active,streetAddress,locality,region,postalCode,countryCode
kelly18,campbelljoshua@gmail.com,Kimberly,Brown,es-ES,partner,True,167 Dillon Forge,Jillianborough,NE,61780,SO
mprice,shannonmoran@hotmail.com,Stephanie,Wilson,es-ES,partner,True,6747 Justin Prairie,Oconnorton,PA,18022,CN
ashley72,mcmillanpeggy@hotmail.com,Patricia,Davis,en-US,contractor,False,0416 Jennifer Path,Thomasborough,VT,45475,DK
joan28,jose81@gmail.com,Tammy,Sullivan,pt-BR,contractor,True,03334 Torres Canyon Suite 729,North Jonathan,VT,15706,LY
melissaward,roger77@hotmail.com,Janet,Carpenter,pt-BR,partner,True,959 Megan Ways,Port Gregoryside,SC,45562,RU
catherinemcmillan,bryanherring@hotmail.com,Sandra,Garza,es-ES,contractor,True,91790 Tracy Trail,Brownchester,CT,81411,SY
cgonzalez,sandersjeffrey@hotmail.com,Thomas,Taylor,zh-CN,employee,False,89767 Smith Isle Apt. 375,Marytown,LA,61748,PS
pthompson,milesnathan@gmail.com,Michelle,Davis,zh-CN,employee,False,562 Pamela Underpass Apt. 679,East Devinburgh,FL,41643,SD
amandafrye,cmadden@yahoo.com,Patricia,Walker,pt-BR,contractor,True,7602 Shaw Village Apt. 545,Swansonberg,IN,46223,MR
fstokes,elizabethgibson@yahoo.com,Donald,Miller,en-US,contractor,True,91573 Lynch Mountain Apt. 254,Scottport,SD,24681,IS
smithcarol,halltimothy@hotmail.com,Suzanne,Lawson,fr-FR,employee,False,36650 Michael Vista,East Kevinburgh,CT,55404,LY
william43,michellejohnson@gmail.com,Natasha,Williams,pt-BR,employee,True,923 Vanessa Island Apt. 641,Edwardsmouth,MO,89735,ML
kirkroberto,garciashaun@hotmail.com,Danielle,Hubbard,fr-FR,employee,True,8165 Pace Trail,Port Gloria,CA,17370,CM
wesley58,robert74@gmail.com,Bethany,Herring,fr-FR,contractor,False,5935 Yang Harbors,Russellbury,WI,99551,NA
orogers,leblancrebecca@yahoo.com,Briana,Hines,zh-CN,contractor,True,19182 Jones Road Apt. 671,New Anthony,DE,26181,DJ
daniel81,randylewis@gmail.com,James,Mitchell,es-ES,contractor,True,8138 Hanson Pine,Port Alexis,ME,71355,AR
rachel51,nhall@hotmail.com,Susan,Duffy,en-US,employee,True,839 Martinez Village,East Jessica,IL,13284,IT
wallaceshannon,kblackburn@yahoo.com,Michelle,Chen,pt-BR,employee,True,3788 Brown Court Suite 130,West Zachary,NV,56961,TR
brownnichole,catherinesmith@hotmail.com,Lee,Myers,es-ES,employee,True,1408 Melissa Extension,Port David,IN,06936,TM
ericespinoza,mariomccormick@gmail.com,Sheri,Thompson,pt-BR,employee,False,99423 Williams Extensions,Amyview,ID,29613,GB
lisa13,watkinsheather@gmail.com,Melissa,Harvey,fr-FR,contractor,True,85804 Pena Island,Port Aprilland,NJ,21003,CM
faulknercody,tyler26@yahoo.com,Dakota,Hunt,zh-CN,employee,True,64231 Figueroa Stravenue,Lake Tiffanyhaven,DC,31678,GR
alexandra34,danielgriffith@gmail.com,Anthony,Conley,fr-FR,employee,True,492 Morton Skyway,Jenkinstown,WY,82603,BH
robertlee,andrea36@hotmail.com,Susan,Dominguez,pt-BR,partner,True,1665 Devin Forest,Tammyhaven,ID,80605,BT
jasonlucas,williamleon@hotmail.com,Mariah,Cannon,en-US,partner,True,98559 Stafford Crossroad,New Michaelfort,GA,58713,YE
ashley38,scottschaefer@yahoo.com,Carrie,Austin,zh-CN,partner,True,4568 Nelson Prairie Apt. 182,Elizabethtown,CO,81677,SV
xmiller,gregory94@hotmail.com,John,Parker,pt-BR,partner,True,07433 Lindsay Fields,Johnsonside,ME,40755,HU
jcross,vjackson@yahoo.com,Carmen,Hill,zh-CN,employee,True,720 Jacobson Prairie,Port Michaelburgh,RI,80640,SE
